Ngày,Lần cuối
2010-01-04,517.05
2010-01-05,532.53
2010-01-06,534.46
2010-01-07,533.34
2010-01-08,520.9
2010-01-09,518.9533333333333
2010-01-10,517.0066666666667
2010-01-11,515.06
2010-01-12,498.31
2010-01-13,508.61
2010-01-14,512.33
2010-01-15,505.42
2010-01-16,499.3233333333333
2010-01-17,493.2266666666667
2010-01-18,487.13
2010-01-19,495.51
2010-01-20,489.5
2010-01-21,478.42
2010-01-22,477.59
2010-01-23,478.69666666666666
2010-01-24,479.80333333333334
2010-01-25,480.91
2010-01-26,497.9
2010-01-27,486.41
2010-01-28,481.76
2010-01-29,481.96
2010-01-30,483.62333333333333
2010-01-31,485.28666666666663
2010-02-01,486.95
2010-02-02,487.93
2010-02-03,495.48
2010-02-04,503.83
2010-02-05,493.04
2010-02-06,492.4266666666667
2010-02-07,491.81333333333333
2010-02-08,491.2
2010-02-09,482.89
2010-02-10,490.91
2010-02-11,499.94
2010-02-12,507.0
2010-02-13,507.302
2010-02-14,507.604
2010-02-15,507.906
2010-02-16,508.20799999999997
2010-02-17,508.51
2010-02-18,508.812
2010-02-19,509.114
2010-02-20,509.416
2010-02-21,509.71799999999996
2010-02-22,510.02
2010-02-23,496.29
2010-02-24,494.59
2010-02-25,494.99
2010-02-26,496.91
2010-02-27,498.9433333333333
2010-02-28,500.9766666666667
2010-03-01,503.01
2010-03-02,501.0
2010-03-03,507.32
2010-03-04,511.91
2010-03-05,513.39
2010-03-06,515.9666666666667
2010-03-07,518.5433333333333
2010-03-08,521.12
2010-03-09,527.27
2010-03-10,525.67
2010-03-11,524.64
2010-03-12,531.51
2010-03-13,531.6266666666667
2010-03-14,531.7433333333333
2010-03-15,531.86
2010-03-16,516.08
2010-03-17,510.85
2010-03-18,519.73
2010-03-19,515.99
2010-03-20,514.52
2010-03-21,513.05
2010-03-22,511.58
2010-03-23,506.53
2010-03-24,512.12
2010-03-25,503.39
2010-03-26,505.3
2010-03-27,505.42333333333335
2010-03-28,505.5466666666667
2010-03-29,505.67
2010-03-30,500.72
2010-03-31,499.24
2010-04-01,508.18
2010-04-02,510.48
2010-04-03,511.9166666666667
2010-04-04,513.3533333333334
2010-04-05,514.79
2010-04-06,515.33
2010-04-07,515.82
2010-04-08,515.93
2010-04-09,517.42
2010-04-10,518.2566666666667
2010-04-11,519.0933333333332
2010-04-12,519.93
2010-04-13,517.98
2010-04-14,516.21
2010-04-15,521.49
2010-04-16,522.03
2010-04-17,520.2666666666667
2010-04-18,518.5033333333333
2010-04-19,516.74
2010-04-20,515.2
2010-04-21,519.7
2010-04-22,529.31
2010-04-23,529.785
2010-04-24,530.26
2010-04-25,530.735
2010-04-26,531.21
2010-04-27,535.72
2010-04-28,539.2
2010-04-29,542.37
2010-04-30,543.72
2010-05-01,545.07
2010-05-02,546.42
2010-05-03,547.77
2010-05-04,549.12
2010-05-05,548.01
2010-05-06,549.51
2010-05-07,542.03
2010-05-08,539.48
2010-05-09,536.93
2010-05-10,534.38
2010-05-11,534.36
2010-05-12,519.6
2010-05-13,518.93
2010-05-14,520.72
2010-05-15,517.57
2010-05-16,514.42
2010-05-17,511.27
2010-05-18,508.3
2010-05-19,494.9
2010-05-20,503.55
2010-05-21,483.69
2010-05-22,484.5233333333333
2010-05-23,485.3566666666667
2010-05-24,486.19
2010-05-25,486.25
2010-05-26,492.69
2010-05-27,497.16
2010-05-28,512.99
2010-05-29,511.14
2010-05-30,509.29
2010-05-31,507.44
2010-06-01,508.68
2010-06-02,510.74
2010-06-03,511.16
2010-06-04,510.37
2010-06-05,505.87666666666667
2010-06-06,501.3833333333333
2010-06-07,496.89
2010-06-08,497.19
2010-06-09,497.56
2010-06-10,500.51
2010-06-11,504.29
2010-06-12,505.6333333333333
2010-06-13,506.9766666666667
2010-06-14,508.32
2010-06-15,508.01
2010-06-16,510.72
2010-06-17,510.76
2010-06-18,511.18
2010-06-19,512.37
2010-06-20,513.56
2010-06-21,514.75
2010-06-22,512.63
2010-06-23,512.82
2010-06-24,511.67
2010-06-25,505.12
2010-06-26,505.84
2010-06-27,506.56
2010-06-28,507.28
2010-06-29,510.71
2010-06-30,507.14
2010-07-01,504.02
2010-07-02,503.65
2010-07-03,504.61333333333334
2010-07-04,505.57666666666665
2010-07-05,506.54
2010-07-06,500.82
2010-07-07,496.91
2010-07-08,498.55
2010-07-09,499.46
2010-07-10,499.6166666666667
2010-07-11,499.7733333333333
2010-07-12,499.93
2010-07-13,509.08
2010-07-14,507.34
2010-07-15,505.19
2010-07-16,506.21
2010-07-17,506.41999999999996
2010-07-18,506.63
2010-07-19,506.84
2010-07-20,506.56
2010-07-21,505.4
2010-07-22,500.28
2010-07-23,500.31
2010-07-24,499.5733333333333
2010-07-25,498.8366666666667
2010-07-26,498.1
2010-07-27,497.67
2010-07-28,491.0
2010-07-29,491.11
2010-07-30,493.91
2010-07-31,493.1433333333334
2010-08-01,492.37666666666667
